,UserId,Reputation,Views,UpVotes,DownVotes,PostId,Score,ViewCount,CommentCount,no_posted,CommentBins
82346,42329,16,5,0,0,90871,3,85.0,4,1,Low
63202,24097,450,94,19,1,58444,2,130.0,2,48,Very Low
76355,35413,80,10,6,0,113670,1,18.0,2,11,Very Low
75183,32454,41,2,0,0,76672,2,98.0,6,3,Moderate
81200,40967,411,47,10,5,90077,1,49.083333333333336,2,30,Very Low
19610,2773,485,76,11,4,7469,4,475.0,1,11,Very Low
87039,48594,1,0,0,0,103873,0,16.0,0,1,Very Low
71900,30201,1271,74,81,4,100825,2,121.5,0,41,Very Low
72989,30997,21,0,0,0,71739,3,68.0,0,4,Very Low
29301,5739,15236,2252,705,16,16902,1,1108.9493670886077,0,397,Very Low
36011,7762,18,6,3,0,19296,2,95.0,1,2,Very Low
19495,2725,118,44,8,0,6142,1,1064.0,0,5,Very Low
24698,4253,19585,6948,155,56,109683,4,130.125,2,450,Very Low
59195,20883,3,2,0,0,103744,0,34.0,0,3,Very Low
36005,7749,128,3,1,0,19258,5,514.0,6,1,Moderate
75107,32397,264,20,31,0,81957,1,228.0,0,31,Very Low
72052,30347,9,0,0,0,70132,1,162.0,3,1,Low
55156,17116,1,10,0,0,44271,0,167.0,6,1,Moderate
83535,43789,103,2,1,0,93794,0,53.0,0,2,Very Low
78081,36636,11,37,0,0,81415,1,258.0,0,3,Very Low
27377,4856,17791,5927,2122,412,30974,1,298.32575757575756,0,266,Very Low
29794,5829,2452,199,242,4,59876,5,136.68,5,51,Low
56238,17661,1917,331,139,16,74593,2,142.33333333333331,0,101,Very Low
68216,27855,198,15,23,0,95650,0,158.5,1,7,Very Low
86436,46872,1,1,0,0,104033,0,10.0,0,2,Very Low
56741,17908,3559,206,88,1,109186,0,421.5584415584416,0,153,Very Low
51904,14346,481,69,51,3,101099,2,141.0,1,38,Very Low
69159,28538,46,11,4,0,68464,1,101.0,0,4,Very Low
78763,37275,121,4,3,0,103296,2,89.0,4,4,Low
8649,795,5606,967,1547,8,13783,5,658.0,7,225,Moderate
61643,22303,6,1,0,0,52859,1,50.0,2,1,Very Low
827,39,1651,255,12,0,1187,2,554.6666666666666,1,14,Very Low
26846,4717,118,4,1,0,30318,0,72.0,3,2,Low
80724,40429,301,8,10,0,94639,0,44.25,5,10,Low
7858,686,44152,7357,2156,82,77239,1,163.74285714285713,4,1598,Low
61043,22047,13806,2722,401,200,59705,3,105.79768786127167,8,345,Moderate
5855,601,13478,1286,283,17,3737,0,1245.4615384615386,0,380,Very Low
17663,2116,18088,3899,3274,43,78296,3,314.0120481927711,0,363,Very Low
75016,32316,111,1,0,0,76524,1,146.0,0,1,Very Low
46854,11852,3091,591,598,36,114489,0,318.59842519685037,0,104,Very Low
54799,16974,1148,99,213,0,47812,3,273.62857142857143,7,33,Moderate
53165,15980,38,8,8,0,90546,0,93.0,0,10,Very Low
24811,4257,6461,434,186,6,14090,5,152.7027027027027,0,168,Very Low
77068,36041,2538,252,15,5,88974,0,53.59183673469388,0,179,Very Low
72733,30712,720,70,4,1,71937,1,89.66666666666667,0,16,Very Low
71679,29944,6,0,0,0,69275,1,72.0,0,1,Very Low
49630,13105,21,2,0,0,33774,4,706.0,4,1,Low
79228,37765,91,6,7,0,97481,0,28.0,0,7,Very Low
2442,183,22625,4069,2496,45,16973,0,1333.6363636363637,1,493,Very Low
7059,686,44152,7357,2156,82,35541,2,544.530303030303,3,1598,Low
85373,45547,11,2,0,0,97687,2,83.0,0,1,Very Low
32167,6659,28,7,0,0,16508,5,1293.0,0,1,Very Low
18143,2310,3016,2342,220,2,23175,3,659.3333333333334,0,106,Very Low
81541,41359,103,2,3,0,88865,0,540.0,2,7,Very Low
76589,35632,11,1,0,0,78449,2,70.0,0,1,Very Low
72512,30568,1,0,0,0,70692,0,132.0,0,1,Very Low
37431,8013,7972,662,108,6,81673,0,37.964285714285715,0,320,Very Low
63741,24534,6,2,0,0,56556,0,79.0,2,2,Very Low
48504,12518,872,87,100,1,47110,0,148.9,2,20,Very Low
75621,34829,1,0,0,0,76605,0,45.0,0,1,Very Low
82894,42940,1,0,0,0,92222,0,14.0,0,1,Very Low
89947,54544,16,0,0,0,112937,3,39.0,0,1,Very Low
24783,4257,6461,434,186,6,11931,3,157.54054054054055,1,168,Very Low
85140,45216,1,0,0,0,96943,0,45.0,3,1,Low
6149,601,13478,1286,283,17,72416,3,91.73255813953489,1,380,Very Low
85096,45150,1,2,0,0,97193,0,53.0,0,3,Very Low
40693,9202,23,0,0,0,22811,2,319.0,0,2,Very Low
38765,8402,5564,1250,270,44,53132,1,63.0,0,206,Very Low
14459,1307,4128,5025,600,10,14766,3,111.6,0,90,Very Low
90374,55365,321,23,1,1,114596,4,22.9,0,9,Very Low
87490,49130,396,11,36,0,110542,4,11.869565217391305,0,20,Very Low
60904,21998,553,433,51,8,57804,0,125.0,0,70,Very Low
22540,3401,375,30,31,0,15826,2,69.0,0,15,Very Low
76103,35217,1,0,0,0,77447,0,74.0,0,1,Very Low
39009,8451,3111,270,121,5,76339,0,258.125,0,115,Very Low
17057,2040,790,428,262,12,25623,2,710.0,0,163,Very Low
64713,25292,378,20,5,0,73226,1,64.05882352941177,0,16,Very Low
5194,449,12813,1089,1607,57,15273,5,200.3795620437956,0,260,Very Low
82967,43008,6,0,0,0,92356,1,27.0,0,1,Very Low
54161,16612,501,16,61,0,85830,1,30.0,5,25,Low
37058,7972,11631,1050,1230,187,49249,1,805.8385650224216,2,340,Very Low
86817,48320,116,0,0,0,103258,3,104.0,2,1,Very Low
80398,40120,79,13,6,0,93882,1,24.0,5,13,Low
73096,31104,114,24,6,0,78465,0,23.0,0,21,Very Low
27202,4856,17791,5927,2122,412,14298,5,213.0,8,266,Moderate
73359,31264,459,34,12,3,72558,1,246.57142857142856,6,32,Moderate
88816,52811,123,0,17,0,112349,4,58.0,1,1,Very Low
18064,2260,287,7,60,0,10368,5,640.0,6,8,Moderate
86994,48554,178,12,7,1,109104,1,36.0,1,13,Very Low
3097,223,4022,1471,345,19,7954,4,345.84615384615387,3,94,Low
88779,52756,126,17,0,0,110496,0,57.66666666666667,7,12,Moderate
13202,1005,3679,870,325,0,60186,0,360.0,5,292,Low
26648,4598,8814,516,314,11,105956,0,135.35714285714286,0,254,Very Low
52201,14532,119,51,7,0,41143,0,327.0,4,10,Low
7082,686,44152,7357,2156,82,38096,2,583.3863636363636,6,1598,Moderate
37418,8013,7972,662,108,6,77277,2,29.142857142857142,0,320,Very Low
79437,38075,31,4,0,0,83559,0,58.5,0,3,Very Low
24408,4253,19585,6948,155,56,30184,3,1134.7368421052633,6,450,Moderate
79047,37594,21,8,0,0,97101,1,75.0,1,3,Very Low
48642,12583,526,40,8,1,32598,1,567.0909090909091,0,10,Very Low
54439,16765,1490,35,12,0,86443,4,84.29729729729729,0,36,Very Low
65095,25441,8,18,0,0,58601,0,48.0,3,3,Low
6510,632,202,38,69,0,91518,3,92.0,2,5,Very Low
88290,52219,84,11,5,0,108590,1,50.0,0,7,Very Low
89676,54136,24,4,0,0,112007,4,134.0,1,1,Very Low
64769,25334,8,1,0,0,58356,1,319.0,0,1,Very Low
78394,36899,6,2,0,0,81292,0,31.0,0,3,Very Low
7356,686,44152,7357,2156,82,49227,3,497.9655172413793,0,1598,Very Low
68891,28389,28,0,1,0,65346,2,48.0,6,2,Moderate
46425,11708,725,64,240,6,30120,4,379.0,3,30,Low
7405,686,44152,7357,2156,82,51839,1,274.7477477477477,1,1598,Very Low
22370,3382,8009,3559,183,24,48327,0,108.52112676056338,0,425,Very Low
82708,42732,6,4,0,0,91982,0,10.0,0,3,Very Low
53724,16297,2108,163,92,10,45070,0,752.3243243243244,0,48,Very Low
19687,2779,21,20,0,0,6245,4,220.0,0,1,Very Low
31224,6301,196,14,4,0,35700,3,136.75,0,12,Very Low
43279,10524,2384,163,55,20,35863,4,204.39473684210526,4,83,Low
87175,48746,8,5,0,0,108008,0,16.0,0,2,Very Low
63956,24669,2103,158,196,12,113278,3,123.14545454545441,1,54,Very Low
3989,279,6176,374,578,8,114876,0,218.54037267080753,1,158,Very Low
57103,18215,383,21,8,1,58259,3,151.75,1,14,Very Low
67941,27704,1,0,0,0,63520,0,350.0,0,1,Very Low
84613,44758,1,3,0,0,95880,0,46.0,0,1,Very Low
9682,805,65272,5680,7035,143,83743,3,704.2347826086957,3,1720,Low
78418,36915,271,32,8,1,81381,0,172.5,4,15,Low
85603,45827,6,2,0,0,99706,1,33.0,1,1,Very Low
21267,3125,582,56,3,0,7032,3,515.0,2,34,Very Low
20642,2958,10470,655,210,6,24790,3,514.3933054393306,0,277,Very Low
36983,7972,11631,1050,1230,187,32812,2,1014.0224215246637,0,340,Very Low
42403,10065,435,62,48,0,31579,4,1132.0,10,15,Moderate
46772,11852,3091,591,598,36,49793,2,361.21259842519686,6,104,Moderate
25464,4485,881,61,492,17,76711,4,189.0,0,31,Very Low
75283,32554,52,31,9,0,77320,1,199.0,6,4,Moderate
54810,16974,1148,99,213,0,52526,0,175.25714285714287,5,33,Low
68127,27813,105,19,6,0,69940,0,106.0,0,15,Very Low
49123,12833,870,54,18,1,43543,1,353.04347826086956,0,37,Very Low
47789,12258,672,36,69,0,31810,2,1434.0555555555557,0,17,Very Low
51348,14086,1,4,0,0,36289,0,433.0,13,2,High
46315,11639,1646,224,31,0,29953,1,884.5,0,31,Very Low
18555,2392,11860,2359,883,7,50475,2,200.08695652173913,2,321,Very Low
24410,4253,19585,6948,155,56,31480,5,993.0526315789474,2,450,Very Low
35271,7497,1668,170,0,0,21310,1,896.3220338983051,0,58,Very Low
41847,9738,1725,217,246,1,26222,4,296.741935483871,0,37,Very Low
32500,6842,118,8,0,0,57207,0,99.0,5,3,Low
78686,37188,1161,37,171,5,110370,2,46.8,0,55,Very Low
3331,251,7931,984,819,0,1693,2,753.3781512605042,1,132,Very Low
40396,9136,390,140,69,0,46937,-1,720.0,0,37,Very Low
89095,53211,79,5,0,0,113480,1,38.857142857142854,0,7,Very Low
1456,88,14082,3320,4235,126,41322,1,1274.6949152542375,0,339,Very Low
18339,2392,11860,2359,883,7,7646,3,369.55555555555554,0,321,Very Low
42857,10331,51,7,1,0,71094,1,121.0,1,4,Very Low
57549,18531,70,9,1,0,48980,0,294.0,0,6,Very Low
48160,12366,1,10,0,0,31557,0,609.0,2,1,Very Low
29132,5659,186,14,0,0,13780,2,269.0,1,5,Very Low
13798,1106,2410,140,202,2,11730,2,402.5,0,56,Very Low
73270,31221,305,40,26,1,90277,1,94.5,0,25,Very Low
64702,25281,16,4,0,0,58253,3,402.0,1,1,Very Low
33644,7224,5430,1604,463,63,21009,2,347.0,0,115,Very Low
40371,9127,16,3,0,0,22626,3,431.0,1,1,Very Low
67470,27418,64,4,8,0,94776,0,122.0,0,10,Very Low
86476,46925,337,13,32,1,104204,1,48.0,4,20,Low
24661,4253,19585,6948,155,56,100774,4,116.25,0,450,Very Low
13299,1005,3679,870,325,0,80497,2,27.0,0,292,Very Low
72303,30453,38,2,0,0,70539,1,146.0,11,4,Moderate
77197,36041,2538,252,15,5,108561,0,126.4375,0,179,Very Low
5953,601,13478,1286,283,17,21188,3,293.35135135135124,4,380,Low
42826,10319,6,6,0,0,25932,1,250.0,7,2,Moderate
86113,46454,18,1,0,0,100636,3,198.0,1,1,Very Low
29839,5832,477,65,4,0,14491,3,373.8125,0,20,Very Low
60378,21654,931,33,238,0,110579,0,255.11111111111111,0,34,Very Low
66993,27050,91,7,4,0,73510,2,137.0,2,4,Very Low
63267,24128,36,14,21,0,59396,0,184.0,0,6,Very Low
28702,5464,384,62,8,1,45371,3,197.0,5,25,Low
20947,3014,345,126,34,1,57039,0,59.0,0,16,Very Low
65216,25629,46,3,21,0,59708,4,251.0,1,3,Very Low
82652,42691,3,0,0,0,91674,0,51.0,0,1,Very Low
55104,17096,856,114,119,10,48044,0,769.5,1,29,Very Low
20917,2986,78,17,1,0,23220,1,205.0,1,2,Very Low
53636,16234,36,3,0,0,41152,3,167.0,2,3,Very Low
61680,22311,3963,298,736,113,64635,1,95.4375,4,91,Low
22169,3382,8009,3559,183,24,13209,0,56.147887323943664,0,425,Very Low
18608,2403,378,29,5,0,21179,1,241.0,1,9,Very Low
51663,14188,4096,337,107,0,97785,0,56.333333333333336,1,147,Very Low
60335,21642,1,1,0,0,86404,0,261.5,0,1,Very Low
88621,52554,2294,192,59,3,114365,2,23.789473684210527,0,79,Very Low
42984,10389,604,74,31,1,48849,1,207.0,0,35,Very Low
47962,12329,1003,273,22,0,52276,0,737.0,0,146,Very Low
87517,49157,6,0,0,0,105094,0,66.0,2,2,Very Low
72926,30918,7,0,0,0,71564,-1,235.0,2,1,Very Low
13807,1106,2410,140,202,2,12599,5,525.0,0,56,Very Low
74928,32198,1,0,0,0,74343,0,19.0,5,1,Low
24086,4083,138,19,6,0,69580,1,166.0,1,7,Very Low
51269,13999,28,10,1,0,71797,5,94.0,0,2,Very Low
71604,29897,11,5,0,0,69367,1,193.33333333333331,0,2,Very Low
58797,20587,383,20,62,3,90978,0,32.0,1,15,Very Low
55669,17298,6,0,0,0,44641,1,23.0,2,1,Very Low
62903,23880,12,5,0,0,55090,2,116.0,3,3,Low
38539,8339,1,0,0,0,20594,0,113.0,3,1,Low
76165,35263,53,4,0,0,79183,1,43.5,1,6,Very Low
63604,24462,16,4,1,0,83104,1,169.0,3,2,Low
30454,5973,11,8,0,0,14791,2,621.0,1,1,Very Low
74525,32036,7227,991,2664,143,84196,1,350.41871921182263,0,269,Very Low
31909,6633,9429,1534,167,88,21848,2,680.88,0,210,Very Low
88944,53014,1,1,0,0,109808,0,33.0,0,1,Very Low
90340,55290,111,1,0,0,114457,1,21.6,0,1,Very Low
78814,37340,1,0,0,0,82335,0,57.0,1,1,Very Low
7952,686,44152,7357,2156,82,82090,3,188.4,2,1598,Very Low
4540,368,369,18,5,0,28814,5,118.53846153846155,1,10,Very Low
29273,5739,15236,2252,705,16,14813,2,698.1645569620254,1,397,Very Low
28476,5404,263,30,15,0,15908,1,439.0,5,12,Low
74696,32036,7227,991,2664,143,108986,3,219.85221674876848,2,269,Very Low
74241,31800,8,22,0,0,74577,0,261.0,1,4,Very Low
12953,961,620,73,86,3,43527,4,227.66666666666666,2,21,Very Low
87872,49637,6,0,0,0,106064,1,94.0,6,1,Moderate
53667,16247,23,2,1,0,41176,3,1394.0,0,2,Very Low
58183,20048,276,25,10,0,91736,0,82.0,3,6,Low
76932,35943,8,2,0,0,79147,1,97.0,3,1,Low
56254,17661,1917,331,139,16,83997,0,38.0,0,101,Very Low
21533,3277,13898,2866,869,12,12361,3,321.6428571428571,0,286,Very Low
79119,37641,21,1,0,0,82961,2,44.5,0,1,Very Low
58625,20438,11,0,0,0,73131,2,86.0,2,2,Very Low
36407,7828,8635,666,49,110,61520,1,807.6442307692307,2,388,Very Low
74498,32036,7227,991,2664,143,81488,0,273.820895522388,3,269,Low
35999,7746,78,5,16,0,77147,1,111.0,1,8,Very Low
27560,4875,126,7,0,0,11582,1,75.0,1,2,Very Low
54838,16989,363,91,55,0,44073,4,205.08695652173913,0,23,Very Low
88059,51931,86,6,2,0,107877,0,32.42857142857143,0,5,Very Low
59828,21260,236,30,2,0,52593,1,41.76923076923077,2,13,Very Low
21958,3328,121,8,0,0,7412,4,544.0,4,1,Low
48450,12492,1537,228,44,0,99849,2,153.0,1,106,Very Low
55327,17230,10690,1040,3079,163,45249,1,127.26605504587155,1,290,Very Low
28680,5461,152,15,11,0,24741,1,101.75,0,8,Very Low
86422,46843,1,6,0,0,101400,0,26.0,0,2,Very Low
33563,7194,179,13,13,0,17878,1,95.0,1,11,Very Low
47481,12034,13,1,0,0,30576,2,154.0,0,1,Very Low
10562,858,2834,434,333,24,25261,1,673.6875,0,99,Very Low
2989,215,2496,384,5,0,1103,4,1460.0,0,34,Very Low
63062,24028,88,7,0,0,61773,1,129.0,4,8,Low
46033,11475,176,93,38,0,30888,0,111.0,3,32,Low
53822,16362,206,30,15,0,64383,2,212.0,0,13,Very Low
30163,5859,139,3,8,0,50490,2,161.0,0,4,Very Low
56364,17688,163,8,5,0,90167,0,44.0,2,9,Very Low
61469,22129,1,0,0,0,52507,0,92.0,0,1,Very Low
88679,52623,1,3,0,0,108987,0,19.0,5,1,Low
39605,8676,789,115,11,0,21891,1,261.4,2,15,Very Low
30626,6029,5837,638,3481,40,63328,2,451.7770700636943,2,155,Very Low
56489,17812,356,74,16,4,74719,0,46.5,0,41,Very Low
73852,31542,113,5,6,0,108534,1,31.0,3,3,Low
86987,48554,178,12,7,1,103782,1,50.0,2,13,Very Low
40233,9007,1318,309,456,31,43191,3,621.0,0,74,Very Low
75498,34724,16,1,0,0,76379,3,488.0,0,1,Very Low
64027,24728,263,20,9,2,60326,2,272.0,2,6,Very Low
67624,27530,101,6,2,0,88239,0,64.33333333333334,0,8,Very Low
18117,2310,3016,2342,220,2,12195,0,106.0,0,106,Very Low
9433,805,65272,5680,7035,143,69479,3,1105.16,2,1720,Very Low
82561,42594,34,6,4,0,93285,0,105.0,0,12,Very Low
41043,9386,6,0,0,0,23540,1,141.0,6,1,Moderate
32700,6897,1178,334,454,27,34668,5,159.85714285714286,1,53,Very Low
12964,966,1290,137,244,0,3951,4,208.28571428571428,2,36,Very Low
25331,4426,1912,336,126,1,19246,2,91.0,0,31,Very Low
88067,51937,1,1,0,0,107632,0,25.333333333333332,2,2,Very Low
25408,4479,1376,169,449,3,27979,2,342.9298245614035,5,61,Low
81917,41810,549,61,10,3,105736,0,71.0,2,16,Very Low
41897,9775,16,12,0,0,24494,1,445.0,3,2,Low
86927,48467,45,16,0,0,110349,0,56.0,4,8,Low
90086,54778,1,0,0,0,113402,0,11.0,0,1,Very Low
18475,2392,11860,2359,883,7,14943,2,508.8085106382978,0,321,Very Low
17473,2116,18088,3899,3274,43,10304,5,1289.181818181818,0,363,Very Low
71856,30192,117,27,46,0,82973,1,179.0,12,17,High
68680,28260,3,7,0,0,64959,0,384.0,0,4,Very Low
75350,34626,6,0,0,0,76196,1,137.0,2,1,Very Low
39965,8871,425,45,0,0,63854,0,749.0,1,32,Very Low
13648,1050,478,53,39,2,12017,1,1292.2999999999997,0,17,Very Low
80778,40469,16,0,0,0,86976,3,60.0,3,1,Low
28891,5509,1403,323,161,7,77316,0,110.0,0,84,Very Low
17430,2116,18088,3899,3274,43,7750,5,990.1363636363636,4,363,Low
30928,6129,951,94,99,0,24216,1,510.2432432432433,0,36,Very Low
72920,30911,1,0,0,0,71549,0,200.0,0,1,Very Low
27322,4856,17791,5927,2122,412,28329,0,402.9090909090909,0,266,Very Low
71392,29686,116,2,0,0,69609,3,81.0,0,1,Very Low
29024,5582,35,27,0,0,13979,1,367.0,5,4,Low
65574,25936,2196,206,298,6,111369,3,152.48148148148147,2,47,Very Low
24584,4253,19585,6948,155,56,79191,2,95.55194805194805,4,450,Low
37835,8109,103,58,2,0,21698,3,211.0,0,27,Very Low
60835,21972,395,34,25,3,52849,0,104.2,2,20,Very Low
38894,8413,4193,462,2319,22,95311,3,927.5573770491804,5,60,Low
41414,9496,111,2,1,0,26604,0,252.66666666666666,2,2,Very Low
27538,4872,1183,140,157,15,11544,5,1116.0,0,21,Very Low
