,cluster,id
0,6,11NFxVnEwPDz4LjIyKazxV
1,16,5QEqzFV7R8KSSCJa37tfvs
2,8,0b18g3G5spr4ZCkz7Y6Q0Q
3,6,58GxgFEG5uHc9oMhofuuIP
4,9,0ZqL6UhrqydZE4DaXvCMeT
5,0,63bWXWGcWnRQvdS8bJWdkB
6,3,0siYMEsGrzzzlWLXK5zJfS
7,6,6kxErsVgalFeBlxRfHCuUv
8,8,49gruEYzuJZoy4R2q5xVlT
9,8,46zfTi4Wg6mmkOBPimtg6X
10,8,2pPO9YecZimmuVQfIzfV6U
11,22,6Tio0ZoDeSQnI7EBAqWer2
12,13,4cG7HUWYHBV6R6tHn1gxrl
13,3,0HzHUF33G1dPmd2eNULyfa
14,6,1VuBab65w8vPFeFvREDA32
15,12,3HqQpSTLHJRKDhulVacRFb
16,8,3KJ1QkwWObfuq54pgwTRyW
17,18,5qNh5WtzMbfpSj2jLlBkoD
18,0,2REu6wX4KKrG6uGlTKVqu6
19,21,20GrahbI4AzAOWxpYfDKkf
20,9,0DAQryfUiFZdWFo76RYBc8
21,13,0AKxA0LR1eHNIiyg4KMZGy
22,16,1dXz1boMWgpeiNcTK3jRtU
23,6,3BZEcbdtXQSo7OrvKRJ6mb
24,8,5YaskwnGDZFDRipaqzbwQx
25,0,5SFXOMJJ334Wn2PwBHeRZN
26,0,64ZyI00DBUUigpTanQqA0l
27,0,3iw6V4LH7yPj1ESORX9RIN
28,17,3gMi9DLCVNNAnj9URmWNlD
29,9,2AceGjiX9isUbXmMZa0Dl1
30,3,7FdUvDkaE24o3FPIWTvzv2
31,8,0Cnb8XdGDMHAmIRBUJMkIS
32,14,7toCqux0Ln42OttYYyds4k
33,0,46lyJh9GYmWsHez3EsvmAx
34,3,4Lt6GXGzYsa1tgkv3nGSTm
35,17,5jYDCxuSx1mfApeWA4SlqX
36,17,2QuQkdLLzgktXwruPAz6f4
37,13,4iJyoBOLtHqaGxP12qzhQI
38,0,27OeeYzk6klgBh83TSvGMA
39,16,0nYSnbFVX5ghrERjwVZgwZ
40,13,5QO79kh1waicV47BqGRL3g
41,22,1KixkQVDUHggZMU9dUobgm
42,15,3Ofmpyhv5UAQ70mENzB277
43,17,5ri4zqtWhG07hIuNNDWP76
44,8,6fRxMU4LWwyaSSowV441IU
45,18,1Xi84slp6FryDSCbzq4UCD
46,9,6CDzDgIUqeDY5g8ujExx2f
47,8,748mdHapucXQri7IAO8yFK
48,11,4ioQKdmkdBTkqjhfHeu4YU
49,22,61KpQadow081I2AsbeLcsb
50,22,3GLa4qZ1hy9Skx1e2tMwXm
51,3,6KhSk0XaifZje1L3n2zUUq
52,16,7AxA87dIJ1FF4l1BQ98ZCZ
53,22,5xjXfai7bW503D99N7ofqb
54,12,4pAxG2OEh4LSNuZFzDRUbN
55,13,4AN9eutNtqfXFsKCBHiSOf
56,22,5qan1YtZZu2zhax413risP
57,0,0t305ELuXVAV4Dzp9wq48F
58,22,6djDjm3FGt1G3NUTfbrhu6
59,13,4gEC7He07d6cuzkQ7MSobQ
60,22,6UC9FZ8zimf09Q6i8i8plN
61,13,0WTmgS8NvUtHlVQMqfwE22
62,14,3kyVsU28a4mWIC4UpXDWuy
63,13,6IEeZze0KkQeSHqutjSsmx
64,22,5jQxnJIy96OrUKQy8phVzh
65,16,6kZBa2wVfTaGAdoLa3dVAP
66,12,1fC0uGs48Sb7GLioUe0tN4
67,3,5hQRNdaLnqlFYhBiVFMptc
68,22,1pUTByFRmxwuFIl18NpUB8
69,0,5S4P1Nlkgr7H6vXbicj74K
70,3,5pUsrDG9eAWYQLnSHMkbjK
71,3,4YATrrrkiZCH1jy2ISOP9P
72,3,3U6YCUCPJ5CxQWx1psJ4Ga
73,8,3jg93qzapCOcTT9ODgEqAv
74,13,7oIN5Dc6kaetarZgBvII8H
75,8,0xDQPgYdTQZCn92Ee1W0WW
76,8,7d0DnTugSgbAiYtcEkZqWN
77,22,0YHL0wDP6b7ov6h0yEhorO
